timestamp,load,wind,pv
2024-01-01 00:00:00,69.57,24.14,0.0
2024-01-01 01:00:00,64.84,29.56,0.0
2024-01-01 02:00:00,59.62,19.6,0.0
2024-01-01 03:00:00,55.82,26.77,0.0
2024-01-01 04:00:00,49.35,29.68,0.0
2024-01-01 05:00:00,46.55,35.89,0.0
2024-01-01 06:00:00,44.65,27.31,0.11
2024-01-01 07:00:00,37.64,38.44,10.6
2024-01-01 08:00:00,40.12,35.37,19.89
2024-01-01 09:00:00,36.32,35.94,27.97
2024-01-01 10:00:00,45.3,36.08,34.4
2024-01-01 11:00:00,46.6,29.26,39.42
2024-01-01 12:00:00,51.7,22.29,38.49
2024-01-01 13:00:00,53.0,40.26,37.72
2024-01-01 14:00:00,61.99,40.51,33.42
2024-01-01 15:00:00,62.17,35.12,28.2
2024-01-01 16:00:00,70.34,40.01,20.82
2024-01-01 17:00:00,75.19,39.35,11.0
2024-01-01 18:00:00,75.44,34.65,-0.72
2024-01-01 19:00:00,80.82,35.7,0.0
2024-01-01 20:00:00,87.01,32.72,0.0
2024-01-01 21:00:00,76.02,40.43,0.0
2024-01-01 22:00:00,81.59,38.8,0.0
2024-01-01 23:00:00,76.65,43.01,0.0
2024-01-02 00:00:00,69.72,28.28,0.0
2024-01-02 01:00:00,63.58,39.59,0.0
2024-01-02 02:00:00,55.67,34.36,0.0
2024-01-02 03:00:00,55.58,31.91,0.0
2024-01-02 04:00:00,52.17,35.62,0.0
2024-01-02 05:00:00,52.82,34.98,0.0
2024-01-02 06:00:00,40.85,26.84,-0.56
2024-01-02 07:00:00,43.54,29.72,9.79
2024-01-02 08:00:00,42.25,27.64,19.28
2024-01-02 09:00:00,35.16,25.27,27.2
2024-01-02 10:00:00,43.93,26.99,35.83
2024-01-02 11:00:00,46.64,31.47,38.81
2024-01-02 12:00:00,52.68,19.95,40.27
2024-01-02 13:00:00,57.53,30.09,39.02
2024-01-02 14:00:00,59.91,21.12,36.59
2024-01-02 15:00:00,69.96,19.31,28.4
2024-01-02 16:00:00,66.61,28.01,19.85
2024-01-02 17:00:00,76.59,8.05,11.04
2024-01-02 18:00:00,79.45,16.25,0.56
2024-01-02 19:00:00,77.44,18.11,0.0
2024-01-02 20:00:00,85.17,12.01,0.0
2024-01-02 21:00:00,78.04,23.32,0.0
2024-01-02 22:00:00,75.98,13.99,0.0
2024-01-02 23:00:00,74.44,8.96,0.0
2024-01-03 00:00:00,70.66,8.56,0.0
2024-01-03 01:00:00,67.83,14.14,0.0
2024-01-03 02:00:00,66.85,15.13,0.0
2024-01-03 03:00:00,58.92,6.89,0.0
2024-01-03 04:00:00,49.63,14.8,0.0
2024-01-03 05:00:00,51.1,4.64,0.0
2024-01-03 06:00:00,45.65,20.67,0.59
2024-01-03 07:00:00,42.82,10.44,10.4
2024-01-03 08:00:00,36.26,12.22,20.2
2024-01-03 09:00:00,46.74,15.01,27.67
2024-01-03 10:00:00,37.97,15.03,34.25
2024-01-03 11:00:00,48.33,13.9,40.09
2024-01-03 12:00:00,46.65,17.19,40.46
2024-01-03 13:00:00,56.3,20.84,37.94
2024-01-03 14:00:00,60.26,22.18,35.34
2024-01-03 15:00:00,67.0,27.28,28.57
2024-01-03 16:00:00,70.73,17.85,19.7
2024-01-03 17:00:00,78.59,20.71,10.47
2024-01-03 18:00:00,80.91,10.37,-0.51
2024-01-03 19:00:00,80.22,21.08,0.0
2024-01-03 20:00:00,78.18,25.25,0.0
2024-01-03 21:00:00,81.14,16.92,0.0
2024-01-03 22:00:00,78.88,21.94,0.0
2024-01-03 23:00:00,69.69,26.22,0.0
2024-01-04 00:00:00,69.86,21.27,0.0
2024-01-04 01:00:00,66.75,28.49,0.0
2024-01-04 02:00:00,58.27,29.09,0.0
2024-01-04 03:00:00,57.87,24.54,0.0
2024-01-04 04:00:00,51.14,29.12,0.0
2024-01-04 05:00:00,52.66,20.76,0.0
2024-01-04 06:00:00,44.77,30.5,-0.31
2024-01-04 07:00:00,46.39,43.09,10.34
2024-01-04 08:00:00,38.67,30.26,20.35
2024-01-04 09:00:00,38.61,32.07,28.35
2024-01-04 10:00:00,43.29,44.2,32.54
2024-01-04 11:00:00,45.36,29.79,40.38
2024-01-04 12:00:00,50.88,31.04,43.16
2024-01-04 13:00:00,50.34,38.24,38.09
2024-01-04 14:00:00,62.08,34.99,35.93
2024-01-04 15:00:00,60.37,42.79,27.85
2024-01-04 16:00:00,71.4,36.64,18.04
2024-01-04 17:00:00,78.34,39.76,12.48
2024-01-04 18:00:00,78.25,32.78,-1.24
2024-01-04 19:00:00,79.46,39.47,0.0
2024-01-04 20:00:00,81.74,34.43,0.0
2024-01-04 21:00:00,75.86,32.7,0.0
2024-01-04 22:00:00,73.85,39.49,0.0
2024-01-04 23:00:00,67.21,34.21,0.0
2024-01-05 00:00:00,71.35,43.0,0.0
2024-01-05 01:00:00,65.39,39.84,0.0
2024-01-05 02:00:00,58.8,30.47,0.0
2024-01-05 03:00:00,52.8,41.12,0.0
2024-01-05 04:00:00,52.98,35.15,0.0
2024-01-05 05:00:00,55.85,31.72,0.0
2024-01-05 06:00:00,44.54,29.89,0.31
2024-01-05 07:00:00,47.63,23.07,11.86
2024-01-05 08:00:00,38.8,33.02,20.43
2024-01-05 09:00:00,36.64,18.57,26.03
